block;russian;transcription;english;translations;examples
fruits_vegetables_120;брусни́ка;/brusnika/;lingonberry;lingonberry;Это брусни́ка. | На столе есть брусни́ка.
fruits_vegetables_120;клю́ква;/klyukva/;cranberry;cranberry;Это клю́ква. | На столе есть клю́ква.
fruits_vegetables_120;облепи́ха;/oblyepikha/;sea buckthorn;sea buckthorn;Это облепи́ха. | На столе есть облепи́ха.
fruits_vegetables_120;ряби́на;/ryabina/;rowan berry;rowan berry;Это ряби́на. | На столе есть ряби́на.
fruits_vegetables_120;шипо́вник;/shipovnik/;rose hip;rose hip;Это шипо́вник. | На столе есть шипо́вник.
fruits_vegetables_120;гуа́ва;/guava/;guava;guava;Это гуа́ва. | На столе есть гуа́ва.
fruits_vegetables_120;мараку́йя;/marakuyya/;passion fruit;passion fruit;Это мараку́йя. | На столе есть мараку́йя.
fruits_vegetables_120;ли́чи;/lichi/;lychee;lychee;Это ли́чи. | На столе есть ли́чи.
fruits_vegetables_120;карамбо́ла;/karambola/;star fruit;star fruit;Это карамбо́ла. | На столе есть карамбо́ла.
fruits_vegetables_120;фейхоа́;/fyeykhoa/;feijoa;feijoa;Это фейхоа́. | На столе есть фейхоа́.
fruits_vegetables_120;тома́т;/tomat/;tomato;tomato;Это тома́т. | На столе есть тома́т.
fruits_vegetables_120;огуре́ц;/oguryets/;cucumber;cucumber;Это огуре́ц. | На столе есть огуре́ц.
fruits_vegetables_120;капу́ста;/kapusta/;cabbage;cabbage;Это капу́ста. | На столе есть капу́ста.
fruits_vegetables_120;цветна́я капу́ста;/tsvyetnaya kapusta/;cauliflower;cauliflower;Это цветна́я капу́ста. | На столе есть цветна́я капу́ста.
fruits_vegetables_120;бро́кколи;/brokkoli/;broccoli;broccoli;Это бро́кколи. | На столе есть бро́кколи.
fruits_vegetables_120;морко́вь;/morkov/;carrot;carrot;Это морко́вь. | На столе есть морко́вь.
fruits_vegetables_120;свёкла;/svyokla/;beetroot;beetroot;Это свёкла. | На столе есть свёкла.
fruits_vegetables_120;реди́с;/ryedis/;radish;radish;Это реди́с. | На столе есть реди́с.
fruits_vegetables_120;ре́дька;/ryedka/;black radish;black radish;Это ре́дька. | На столе есть ре́дька.
fruits_vegetables_120;карто́фель;/kartofyel/;potato;potato;Это карто́фель. | На столе есть карто́фель.
fruits_vegetables_120;бата́т;/batat/;sweet potato;sweet potato;Это бата́т. | На столе есть бата́т.
fruits_vegetables_120;лук;/luk/;onion;onion;Это лук. | На столе есть лук.
fruits_vegetables_120;зелёный лук;/zyelyonyy luk/;spring onion;spring onion;Это зелёный лук. | На столе есть зелёный лук.
fruits_vegetables_120;чесно́к;/chyesnok/;garlic;garlic;Это чесно́к. | На столе есть чесно́к.
fruits_vegetables_120;кабачо́к;/kabachok/;squash;squash;Это кабачо́к. | На столе есть кабачо́к.
fruits_vegetables_120;цуки́ни;/tsukini/;zucchini;zucchini;Это цуки́ни. | На столе есть цуки́ни.
fruits_vegetables_120;баклажа́н;/baklazhan/;eggplant;eggplant;Это баклажа́н. | На столе есть баклажа́н.
fruits_vegetables_120;сла́дкий пе́рец;/sladkiy pyeryets/;bell pepper;bell pepper;Это сла́дкий пе́рец. | На столе есть сла́дкий пе́рец.
fruits_vegetables_120;о́стрый пе́рец;/ostryy pyeryets/;chili pepper;chili pepper;Это о́стрый пе́рец. | На столе есть о́стрый пе́рец.
fruits_vegetables_120;ты́ква;/tykva/;pumpkin;pumpkin;Это ты́ква. | На столе есть ты́ква.
fruits_vegetables_120;патиссо́н;/patisson/;pattypan squash;pattypan squash;Это патиссо́н. | На столе есть патиссо́н.
fruits_vegetables_120;сельдере́й;/syeldyeryey/;celery;celery;Это сельдере́й. | На столе есть сельдере́й.
fruits_vegetables_120;спа́ржа;/sparzha/;asparagus;asparagus;Это спа́ржа. | На столе есть спа́ржа.
fruits_vegetables_120;кукуру́за;/kukuruza/;corn;corn;Это кукуру́за. | На столе есть кукуру́за.
fruits_vegetables_120;горо́х;/gorokh/;peas;peas;Это горо́х. | На столе есть горо́х.
fruits_vegetables_120;фасо́ль;/fasol/;beans;beans;Это фасо́ль. | На столе есть фасо́ль.
fruits_vegetables_120;чечеви́ца;/chyechyevitsa/;lentils;lentils;Это чечеви́ца. | На столе есть чечеви́ца.
fruits_vegetables_120;нут;/nut/;chickpeas;chickpeas;Это нут. | На столе есть нут.
fruits_vegetables_120;соя́;/soya/;soybeans;soybeans;Это соя́. | На столе есть соя́.
fruits_vegetables_120;шампиньо́н;/shampinon/;button mushroom;button mushroom;Это шампиньо́н. | На столе есть шампиньо́н.
fruits_vegetables_120;лиси́чка;/lisichka/;chanterelle;chanterelle;Это лиси́чка. | На столе есть лиси́чка.
fruits_vegetables_120;бе́лый гриб;/byelyy grib/;porcini mushroom;porcini mushroom;Это бе́лый гриб. | На столе есть бе́лый гриб.
fruits_vegetables_120;ве́шенка;/vyeshyenka/;oyster mushroom;oyster mushroom;Это ве́шенка. | На столе есть ве́шенка.
fruits_vegetables_120;сала́т;/salat/;lettuce;lettuce;Это сала́т. | На столе есть сала́т.
fruits_vegetables_120;ру́ккола;/rukkola/;arugula;arugula;Это ру́ккола. | На столе есть ру́ккола.
fruits_vegetables_120;шпина́т;/shpinat/;spinach;spinach;Это шпина́т. | На столе есть шпина́т.
fruits_vegetables_120;щаве́ль;/shchavyel/;sorrel;sorrel;Это щаве́ль. | На столе есть щаве́ль.
fruits_vegetables_120;петру́шка;/pyetrushka/;parsley;parsley;Это петру́шка. | На столе есть петру́шка.
fruits_vegetables_120;укро́п;/ukrop/;dill;dill;Это укро́п. | На столе есть укро́п.
fruits_vegetables_120;кинза́;/kinza/;cilantro;cilantro;Это кинза́. | На столе есть кинза́.
fruits_vegetables_120;базили́к;/bazilik/;basil;basil;Это базили́к. | На столе есть базили́к.
fruits_vegetables_120;мя́та;/myata/;mint;mint;Это мя́та. | На столе есть мя́та.
fruits_vegetables_120;тимья́н;/timyan/;thyme;thyme;Это тимья́н. | На столе есть тимья́н.
fruits_vegetables_120;розмари́н;/rozmarin/;rosemary;rosemary;Это розмари́н. | На столе есть розмари́н.
fruits_vegetables_120;ла́вровый лист;/lavrovyy list/;bay leaf;bay leaf;Это ла́вровый лист. | На столе есть ла́вровый лист.
fruits_vegetables_120;имби́рь;/imbir/;ginger;ginger;Это имби́рь. | На столе есть имби́рь.
fruits_vegetables_120;хрен;/khryen/;horseradish;horseradish;Это хрен. | На столе есть хрен.
fruits_vegetables_120;ре́па;/ryepa/;turnip;turnip;Это ре́па. | На столе есть ре́па.
fruits_vegetables_120;топина́мбур;/topinambur/;Jerusalem artichoke;Jerusalem artichoke;Это топина́мбур. | На столе есть топина́мбур.
fruits_vegetables_120;артишо́к;/artishok/;artichoke;artichoke;Это артишо́к. | На столе есть артишо́к.
fruits_vegetables_120;фрукт;/frukt/;fruit;fruit;Это фрукт. | На столе есть фрукт.
fruits_vegetables_120;о́вощ;/ovoshch/;vegetable;vegetable;Это о́вощ. | На столе есть о́вощ.
fruits_vegetables_120;я́года;/yagoda/;berry;berry;Это я́года. | На столе есть я́года.
fruits_vegetables_120;зе́лень;/zyelyen/;greens;greens;Это зе́лень. | На столе есть зе́лень.
fruits_vegetables_120;оре́х;/oryekh/;nut;nut;Это оре́х. | На столе есть оре́х.
fruits_vegetables_120;се́мечко;/syemyechko/;seed;seed;Это се́мечко. | На столе есть се́мечко.
fruits_vegetables_120;минда́ль;/mindal/;almond;almond;Это минда́ль. | На столе есть минда́ль.
fruits_vegetables_120;гре́цкий оре́х;/gryetskiy oryekh/;walnut;walnut;Это гре́цкий оре́х. | На столе есть гре́цкий оре́х.
fruits_vegetables_120;фунду́к;/funduk/;hazelnut;hazelnut;Это фунду́к. | На столе есть фунду́к.
fruits_vegetables_120;арахи́с;/arakhis/;peanut;peanut;Это арахи́с. | На столе есть арахи́с.
fruits_vegetables_120;фиста́шки;/fistashki/;pistachios;pistachios;Это фиста́шки. | На столе есть фиста́шки.
fruits_vegetables_120;ке́шью;/kyeshyu/;cashew;cashew;Это ке́шью. | На столе есть ке́шью.
fruits_vegetables_120;макада́мия;/makadamiya/;macadamia;macadamia;Это макада́мия. | На столе есть макада́мия.
fruits_vegetables_120;пека́н;/pyekan/;pecan;pecan;Это пека́н. | На столе есть пека́н.
fruits_vegetables_120;ке́дровый оре́х;/kyedrovyy oryekh/;pine nut;pine nut;Это ке́дровый оре́х. | На столе есть ке́дровый оре́х.
fruits_vegetables_120;кунжу́т;/kunzhut/;sesame;sesame;Это кунжу́т. | На столе есть кунжу́т.
fruits_vegetables_120;льняно́е се́мя;/lnyanoye syemya/;flaxseed;flaxseed;Это льняно́е се́мя. | На столе есть льняно́е се́мя.
fruits_vegetables_120;ты́квенные семе́чки;/tykvyennyye syemyechki/;pumpkin seeds;pumpkin seeds;Это ты́квенные семе́чки. | На столе есть ты́квенные семе́чки.
fruits_vegetables_120;подсо́лнечные семе́чки;/podsolnyechnyye syemyechki/;sunflower seeds;sunflower seeds;Это подсо́лнечные семе́чки. | На столе есть подсо́лнечные семе́чки.
fruits_vegetables_120;реве́нь;/ryevyen/;rhubarb;rhubarb;Это реве́нь. | На столе есть реве́нь.
fruits_vegetables_120;брюссе́льская капу́ста;/bryussyelskaya kapusta/;Brussels sprouts;Brussels sprouts;Это брюссе́льская капу́ста. | На столе есть брюссе́льская капу́ста.
fruits_vegetables_120;пастерна́к;/pastyernak/;parsnip;parsnip;Это пастерна́к. | На столе есть пастерна́к.
shopping_150;магази́н;/magazin/;store;store;Это магази́н. | В магазине есть магази́н.
shopping_150;супермарке́т;/supyermarkyet/;supermarket;supermarket;Это супермарке́т. | В магазине есть супермарке́т.
shopping_150;ры́нок;/rynok/;market;market;Это ры́нок. | В магазине есть ры́нок.
shopping_150;торго́вый це́нтр;/torgovyy tsyentr/;shopping mall;shopping mall;Это торго́вый це́нтр. | В магазине есть торго́вый це́нтр.
shopping_150;отде́л;/otdyel/;section;section;Это отде́л. | В магазине есть отде́л.
shopping_150;по́лка;/polka/;shelf;shelf;Это по́лка. | В магазине есть по́лка.
shopping_150;витри́на;/vitrina/;display case;display case;Это витри́на. | В магазине есть витри́на.
shopping_150;ка́сса;/kassa/;checkout;checkout;Это ка́сса. | В магазине есть ка́сса.
shopping_150;о́чередь;/ochyeryed/;queue;queue;Это о́чередь. | В магазине есть о́чередь.
shopping_150;покупа́тель;/pokupatyel/;customer;customer;Это покупа́тель. | В магазине есть покупа́тель.
shopping_150;продаве́ц;/prodavyets/;salesperson;salesperson;Это продаве́ц. | В магазине есть продаве́ц.
shopping_150;касси́р;/kassir/;cashier;cashier;Это касси́р. | В магазине есть касси́р.
shopping_150;консульта́нт;/konsultant/;assistant;assistant;Это консульта́нт. | В магазине есть консульта́нт.
shopping_150;охра́на;/okhrana/;security;security;Это охра́на. | В магазине есть охра́на.
shopping_150;чек;/chyek/;receipt;receipt;Это чек. | В магазине есть чек.
shopping_150;ски́дка;/skidka/;discount;discount;Это ски́дка. | В магазине есть ски́дка.
shopping_150;а́кция;/aktsiya/;special offer;special offer;Это а́кция. | В магазине есть а́кция.
shopping_150;цена́;/tsyena/;price;price;Это цена́. | В магазине есть цена́.
shopping_150;це́нник;/tsyennik/;price tag;price tag;Это це́нник. | В магазине есть це́нник.
shopping_150;сда́ча;/sdacha/;change;change;Это сда́ча. | В магазине есть сда́ча.
shopping_150;нали́чные;/nalichnyye/;cash;cash;Это нали́чные. | В магазине есть нали́чные.
shopping_150;ба́нковская ка́рта;/bankovskaya karta/;bank card;bank card;Это ба́нковская ка́рта. | В магазине есть ба́нковская ка́рта.
shopping_150;термина́л;/tyerminal/;card terminal;card terminal;Это термина́л. | В магазине есть термина́л.
shopping_150;паке́т;/pakyet/;bag;bag;Это паке́т. | В магазине есть паке́т.
shopping_150;бума́жный паке́т;/bumazhnyy pakyet/;paper bag;paper bag;Это бума́жный паке́т. | В магазине есть бума́жный паке́т.
shopping_150;корзи́на;/korzina/;basket;basket;Это корзи́на. | В магазине есть корзи́на.
shopping_150;теле́жка;/tyelyezhka/;shopping cart;shopping cart;Это теле́жка. | В магазине есть теле́жка.
shopping_150;упако́вка;/upakovka/;package;package;Это упако́вка. | В магазине есть упако́вка.
shopping_150;буты́лка;/butylka/;bottle;bottle;Это буты́лка. | В магазине есть буты́лка.
shopping_150;ба́нка;/banka/;jar;jar;Это ба́нка. | В магазине есть ба́нка.
shopping_150;па́чка;/pachka/;pack;pack;Это па́чка. | В магазине есть па́чка.
shopping_150;коро́бка;/korobka/;box;box;Это коро́бка. | В магазине есть коро́бка.
shopping_150;килогра́мм;/kilogramm/;kilogram;kilogram;Это килогра́мм. | В магазине есть килогра́мм.
shopping_150;грамм;/gramm/;gram;gram;Это грамм. | В магазине есть грамм.
shopping_150;ли́тр;/litr/;liter;liter;Это ли́тр. | В магазине есть ли́тр.
shopping_150;срок го́дности;/srok godnosti/;expiration date;expiration date;Это срок го́дности. | В магазине есть срок го́дности.
shopping_150;соста́в;/sostav/;ingredients;ingredients;Это соста́в. | В магазине есть соста́в.
shopping_150;вес;/vyes/;weight;weight;Это вес. | В магазине есть вес.
shopping_150;ка́чество;/kachyestvo/;quality;quality;Это ка́чество. | В магазине есть ка́чество.
shopping_150;бренд;/bryend/;brand;brand;Это бренд. | В магазине есть бренд.
shopping_150;това́р;/tovar/;product;product;Это това́р. | В магазине есть това́р.
shopping_150;поку́пка;/pokupka/;purchase;purchase;Это поку́пка. | В магазине есть поку́пка.
shopping_150;зака́з;/zakaz/;order;order;Это зака́з. | В магазине есть зака́з.
shopping_150;доста́вка;/dostavka/;delivery;delivery;Это доста́вка. | В магазине есть доста́вка.
shopping_150;самовы́воз;/samovyvoz/;pickup;pickup;Это самовы́воз. | В магазине есть самовы́воз.
shopping_150;моло́чный отде́л;/molochnyy otdyel/;dairy section;dairy section;Это моло́чный отде́л. | В магазине есть моло́чный отде́л.
shopping_150;овощно́й отде́л;/ovoshchnoy otdyel/;produce section;produce section;Это овощно́й отде́л. | В магазине есть овощно́й отде́л.
shopping_150;весы́;/vyesy/;scales;scales;Это весы́. | В магазине есть весы́.
shopping_150;промоко́д;/promokod/;promo code;promo code;Это промоко́д. | В магазине есть промоко́д.
shopping_150;хлеб;/khlyeb/;bread;bread;Это хлеб. | В магазине есть хлеб.
shopping_150;бато́н;/baton/;loaf;loaf;Это бато́н. | В магазине есть бато́н.
shopping_150;бу́лочка;/bulochka/;bread roll;bread roll;Это бу́лочка. | В магазине есть бу́лочка.
shopping_150;молоко́;/moloko/;milk;milk;Это молоко́. | В магазине есть молоко́.
shopping_150;кефи́р;/kyefir/;kefir;kefir;Это кефи́р. | В магазине есть кефи́р.
shopping_150;йо́гурт;/yogurt/;yogurt;yogurt;Это йо́гурт. | В магазине есть йо́гурт.
shopping_150;смета́на;/smyetana/;sour cream;sour cream;Это смета́на. | В магазине есть смета́на.
shopping_150;сли́вки;/slivki/;cream;cream;Это сли́вки. | В магазине есть сли́вки.
shopping_150;творо́г;/tvorog/;cottage cheese;cottage cheese;Это творо́г. | В магазине есть творо́г.
shopping_150;сыр;/syr/;cheese;cheese;Это сыр. | В магазине есть сыр.
shopping_150;ма́сло;/maslo/;butter;butter;Это ма́сло. | В магазине есть ма́сло.
shopping_150;яйца́;/yaytsa/;eggs;eggs;Это яйца́. | В магазине есть яйца́.
shopping_150;ку́рица;/kuritsa/;chicken;chicken;Это ку́рица. | В магазине есть ку́рица.
shopping_150;говя́дина;/govyadina/;beef;beef;Это говя́дина. | В магазине есть говя́дина.
shopping_150;свини́на;/svinina/;pork;pork;Это свини́на. | В магазине есть свини́на.
shopping_150;ры́ба;/ryba/;fish;fish;Это ры́ба. | В магазине есть ры́ба.
shopping_150;колбаса́;/kolbasa/;sausage;sausage;Это колбаса́. | В магазине есть колбаса́.
shopping_150;соси́ски;/sosiski/;sausages;sausages;Это соси́ски. | В магазине есть соси́ски.
shopping_150;рис;/ris/;rice;rice;Это рис. | В магазине есть рис.
shopping_150;гре́чка;/gryechka/;buckwheat;buckwheat;Это гре́чка. | В магазине есть гре́чка.
shopping_150;макаро́ны;/makarony/;pasta;pasta;Это макаро́ны. | В магазине есть макаро́ны.
shopping_150;мука́;/muka/;flour;flour;Это мука́. | В магазине есть мука́.
shopping_150;са́хар;/sakhar/;sugar;sugar;Это са́хар. | В магазине есть са́хар.
shopping_150;соль;/sol/;salt;salt;Это соль. | В магазине есть соль.
shopping_150;чай;/chay/;tea;tea;Это чай. | В магазине есть чай.
shopping_150;ко́фе;/kofye/;coffee;coffee;Это ко́фе. | В магазине есть ко́фе.
shopping_150;сок;/sok/;juice;juice;Это сок. | В магазине есть сок.
shopping_150;вода́;/voda/;water;water;Это вода́. | В магазине есть вода́.
shopping_150;пече́нье;/pyechyenye/;cookies;cookies;Это пече́нье. | В магазине есть пече́нье.
shopping_150;шокола́д;/shokolad/;chocolate;chocolate;Это шокола́д. | В магазине есть шокола́д.
shopping_150;конфе́ты;/konfyety/;candy;candy;Это конфе́ты. | В магазине есть конфе́ты.
shopping_150;торт;/tort/;cake;cake;Это торт. | В магазине есть торт.
shopping_150;я́блоки;/yabloki/;apples;apples;Это я́блоки. | В магазине есть я́блоки.
shopping_150;бана́ны;/banany/;bananas;bananas;Это бана́ны. | В магазине есть бана́ны.
shopping_150;апельси́ны;/apyelsiny/;oranges;oranges;Это апельси́ны. | В магазине есть апельси́ны.
shopping_150;помидо́ры;/pomidory/;tomatoes;tomatoes;Это помидо́ры. | В магазине есть помидо́ры.
shopping_150;огурцы́;/ogurtsy/;cucumbers;cucumbers;Это огурцы́. | В магазине есть огурцы́.
shopping_150;карто́шка;/kartoshka/;potatoes;potatoes;Это карто́шка. | В магазине есть карто́шка.
shopping_150;лук ре́пчатый;/luk ryepchatyy/;yellow onion;yellow onion;Это лук ре́пчатый. | В магазине есть лук ре́пчатый.
shopping_150;морко́вь молода́я;/morkov molodaya/;young carrot;young carrot;Это морко́вь молода́я. | В магазине есть морко́вь молода́я.
shopping_150;капу́ста белокоча́нная;/kapusta byelokochannaya/;white cabbage;white cabbage;Это капу́ста белокоча́нная. | В магазине есть капу́ста белокоча́нная.
shopping_150;шампу́нь;/shampun/;shampoo;shampoo;Это шампу́нь. | В магазине есть шампу́нь.
shopping_150;мы́ло;/mylo/;soap;soap;Это мы́ло. | В магазине есть мы́ло.
shopping_150;зу́бная па́ста;/zubnaya pasta/;toothpaste;toothpaste;Это зу́бная па́ста. | В магазине есть зу́бная па́ста.
shopping_150;туале́тная бума́га;/tualyetnaya bumaga/;toilet paper;toilet paper;Это туале́тная бума́га. | В магазине есть туале́тная бума́га.
shopping_150;салфе́тки;/salfyetki/;napkins;napkins;Это салфе́тки. | В магазине есть салфе́тки.
shopping_150;стира́льный порошо́к;/stiralnyy poroshok/;laundry detergent;laundry detergent;Это стира́льный порошо́к. | В магазине есть стира́льный порошо́к.
shopping_150;сре́дство для посу́ды;/sryedstvo dlya posudy/;dish soap;dish soap;Это сре́дство для посу́ды. | В магазине есть сре́дство для посу́ды.
shopping_150;мусо́рные паке́ты;/musornyye pakyety/;trash bags;trash bags;Это мусо́рные паке́ты. | В магазине есть мусо́рные паке́ты.
shopping_150;корм для ко́шек;/korm dlya koshyek/;cat food;cat food;Это корм для ко́шек. | В магазине есть корм для ко́шек.
shopping_150;корм для соба́к;/korm dlya sobak/;dog food;dog food;Это корм для соба́к. | В магазине есть корм для соба́к.
shopping_150;Где́ нахо́дится ка́сса;/gdye nakhoditsya kassa/;Where is the checkout;Where is the checkout;"Я говорю: ""Где́ нахо́дится ка́сса"". | Эту фразу полезно сказать в магазине."
shopping_150;Где́ моло́чный отде́л;/gdye molochnyy otdyel/;Where is the dairy section;Where is the dairy section;"Я говорю: ""Где́ моло́чный отде́л"". | Эту фразу полезно сказать в магазине."
shopping_150;Ско́лько э́то сто́ит;/skolko eto stoit/;How much does it cost;How much does it cost;"Я говорю: ""Ско́лько э́то сто́ит"". | Эту фразу полезно сказать в магазине."
shopping_150;Мо́жно посмотре́ть соста́в;/mozhno posmotryet sostav/;Can I check the ingredients;Can I check the ingredients;"Я говорю: ""Мо́жно посмотре́ть соста́в"". | Эту фразу полезно сказать в магазине."
shopping_150;Э́то све́жее;/eto svyezhyeye/;Is this fresh;Is this fresh;"Я говорю: ""Э́то све́жее"". | Эту фразу полезно сказать в магазине."
shopping_150;У вас есть ски́дка;/u vas yest skidka/;Do you have a discount;Do you have a discount;"Я говорю: ""У вас есть ски́дка"". | Эту фразу полезно сказать в магазине."
shopping_150;Мне ну́жен паке́т;/mnye nuzhyen pakyet/;I need a bag;I need a bag;"Я говорю: ""Мне ну́жен паке́т"". | Эту фразу полезно сказать в магазине."
shopping_150;Паке́т не ну́жен;/pakyet nye nuzhyen/;I do not need a bag;I do not need a bag;"Я говорю: ""Паке́т не ну́жен"". | Эту фразу полезно сказать в магазине."
shopping_150;Опла́та ка́ртой;/oplata kartoy/;Payment by card;Payment by card;"Я говорю: ""Опла́та ка́ртой"". | Эту фразу полезно сказать в магазине."
shopping_150;Опла́та нали́чными;/oplata nalichnymi/;Payment in cash;Payment in cash;"Я говорю: ""Опла́та нали́чными"". | Эту фразу полезно сказать в магазине."
shopping_150;Мо́жно чек;/mozhno chyek/;Can I have the receipt;Can I have the receipt;"Я говорю: ""Мо́жно чек"". | Эту фразу полезно сказать в магазине."
shopping_150;Да́йте, пожа́луйста, килогра́мм я́блок;/daytye, pozhaluysta, kilogramm yablok/;Please give me a kilogram of apples;Please give me a kilogram of apples;"Я говорю: ""Да́йте, пожа́луйста, килогра́мм я́блок"". | Эту фразу полезно сказать в магазине."
shopping_150;Мне полки́ло сы́ра;/mnye polkilo syra/;Half a kilo of cheese for me;Half a kilo of cheese for me;"Я говорю: ""Мне полки́ло сы́ра"". | Эту фразу полезно сказать в магазине."
shopping_150;Взве́сьте, пожа́луйста, помидо́ры;/vzvyestye, pozhaluysta, pomidory/;Please weigh the tomatoes;Please weigh the tomatoes;"Я говорю: ""Взве́сьте, пожа́луйста, помидо́ры"". | Эту фразу полезно сказать в магазине."
shopping_150;Наре́жьте, пожа́луйста, колбасу́;/naryezhtye, pozhaluysta, kolbasu/;Please slice the sausage;Please slice the sausage;"Я говорю: ""Наре́жьте, пожа́луйста, колбасу́"". | Эту фразу полезно сказать в магазине."
shopping_150;Мне ну́жен све́жий хлеб;/mnye nuzhyen svyezhiy khlyeb/;I need fresh bread;I need fresh bread;"Я говорю: ""Мне ну́жен све́жий хлеб"". | Эту фразу полезно сказать в магазине."
shopping_150;Покажи́те, пожа́луйста, молоко́;/pokazhitye, pozhaluysta, moloko/;Please show me the milk;Please show me the milk;"Я говорю: ""Покажи́те, пожа́луйста, молоко́"". | Эту фразу полезно сказать в магазине."
shopping_150;Э́тот това́р по а́кции;/etot tovar po aktsii/;This product is on sale;This product is on sale;"Я говорю: ""Э́тот това́р по а́кции"". | Эту фразу полезно сказать в магазине."
shopping_150;Мо́жно оплати́ть телефо́ном;/mozhno oplatit tyelyefonom/;Can I pay by phone;Can I pay by phone;"Я говорю: ""Мо́жно оплати́ть телефо́ном"". | Эту фразу полезно сказать в магазине."
shopping_150;У меня́ нет ме́лочи;/u myenya nyet myelochi/;I do not have small change;I do not have small change;"Я говорю: ""У меня́ нет ме́лочи"". | Эту фразу полезно сказать в магазине."
shopping_150;Сда́чу, пожа́луйста;/sdachu, pozhaluysta/;The change, please;The change, please;"Я говорю: ""Сда́чу, пожа́луйста"". | Эту фразу полезно сказать в магазине."
shopping_150;Мне два литра́ воды́;/mnye dva litra vody/;I need two liters of water;I need two liters of water;"Я говорю: ""Мне два литра́ воды́"". | Эту фразу полезно сказать в магазине."
