block;russian;fr;es;pt;ar;zh
beginner_1000;английский;anglais;Inglés;Inglês;إنجليزي;英语
beginner_1000;человек;personne;persona;pessoa;شخص;人
beginner_1000;люди;personnes;personas;pessoas;الناس;人
beginner_1000;мужчина;homme;hombre;homem;الرجل;男人
beginner_1000;женщина;femme;mujer;mulher;المرأة;女人
beginner_1000;ребёнок;enfant;niño;criança;طفل;孩子
beginner_1000;друг;ami;amigo;amigo;الصديق;朋友
beginner_1000;семья;famille;familia;família;العائلة;家庭
beginner_1000;мать;mère;madre;mãe;أم;妈妈
beginner_1000;отец;père;padre;pai;الأب;父亲
beginner_1000;сын;fils;hijo;filho;ابن;儿子
beginner_1000;дочь;fille;hija;filha;الابنة;女儿
beginner_1000;брат;frère;hermano;irmão;أخي;兄弟
beginner_1000;сестра;soeur;hermana;irmã;أختي;姐姐
beginner_1000;дом;maison;casa;casa;البيت;房子
beginner_1000;квартира;appartement;apartamento;apartamento;شقة;公寓
beginner_1000;комната;salle;habitación;sala;الغرفة;房间
beginner_1000;дверь;porte fenêtre;puerta;porta janela;الباب;门
beginner_1000;окно;window;ventana;window;النافذة;窗口
beginner_1000;стол;tableau;tabla;tabela;الجدول;表
beginner_1000;стул;chaise;silla;cadeira;الكرسي;椅子
beginner_1000;кровать;lit;cama;cama;السرير;床
beginner_1000;книга;livre;libro;livro;كتاب;书
beginner_1000;слово;mot;palabra;palavra;كلمة;字
beginner_1000;вопрос;question;pregunta;pergunta;سؤال;问题
beginner_1000;ответ;réponse;respuesta;resposta;الجواب;答案
beginner_1000;работа;travail;trabajo;trabalho;العمل;工作
beginner_1000;деньги;argent;dinero;dinheiro;المال;钱
beginner_1000;время;temps;tiempo;hora;الوقت;时间
beginner_1000;день;jour;día;dia;يوم;天
beginner_1000;ночь;nuit;noche;noite;الليل;晚上
beginner_1000;утро;matin;mañana;manhã;الصباح;早上
beginner_1000;вечер;soir;tarde;noite;مساءاً;晚上
beginner_1000;неделя;semaine;semana;semana;اسبوع;周
beginner_1000;месяц;mois;mes;mês;شهر;月
beginner_1000;год;an;año;ano;سنة;年
beginner_1000;сегодня;aujourd'hui;hoy;hoje;اليوم;今天
beginner_1000;вчера;hier;ayer;ontem;أمس;昨天
beginner_1000;завтра;demain;mañana;amanhã;غدا;明天
beginner_1000;час;heure;hora;hora;ساعة;小时
beginner_1000;минута;minutes;minuto;minuto;دقيقة;分钟
beginner_1000;секунда;seconde;segundo;segundo;الثانية;第二
beginner_1000;дорога;route;camino;estrada;الطريق;路
beginner_1000;машина;voiture;coche;carro;السيارة;汽车
beginner_1000;поезд;former;tren;trem;القطار;火车
beginner_1000;автобус;autobus;autobús;ônibus;الحافلة;巴士
beginner_1000;самолёт;avion;avión;avião;الطائرة;飞机
beginner_1000;город;ville;ciudad;cidade;المدينة;城市
beginner_1000;страна;pays;país;país;البلاد;国家
beginner_1000;мир;monde;mundo;mundo;العالم;世界
beginner_1000;улица;rue;calle;rua;شارع;街道
beginner_1000;школа;école;escuela;escola;المدرسة;学校
beginner_1000;университет;université;universidad;universidade;الجامعة;大学
beginner_1000;учитель;enseignant;maestro;professor;المعلم;老师
beginner_1000;ученик;étudiant;estudiante;aluno;الطالب;学生
beginner_1000;язык;langue;idioma;idioma;اللغة;语言
beginner_1000;вода;eau;agua;água;الماء;水
beginner_1000;еда;nourriture;comida;comida;الطعام;食物
beginner_1000;хлеб;pain;pan;pão;الخبز;面包
beginner_1000;молоко;lait;leche;leite;الحليب;牛奶
beginner_1000;чай;thé;té;chá;الشاي;茶
beginner_1000;кофе;café;café;café;القهوة;咖啡
beginner_1000;яблоко;pomme;manzana;maçã;التفاحة;苹果
beginner_1000;мясо;viande;carne;carne;لحم;肉
beginner_1000;рыба;poisson;pez;peixe;السمك;鱼
beginner_1000;суп;soupe;sopa;sopa;الحساء;汤
beginner_1000;соль;sel;sal;sal;الملح;盐
beginner_1000;сахар;sucre;azúcar;açúcar;السكر;糖
beginner_1000;рука;main;mano;mão;يد;手
beginner_1000;нога;jambe;pierna;perna;الساق;腿
beginner_1000;голова;tête;cabeza;cabeça;الرأس;头
beginner_1000;глаз;oeil;ojo;olho;العين;眼睛
beginner_1000;лицо;visage;cara;rosto;الوجه;脸
beginner_1000;волосы;cheveux;cabello;cabelo;الشعر;头发
beginner_1000;сердце;coeur;corazón;coração;القلب;心
beginner_1000;жизнь;vie;vida;vida;الحياة;生活
beginner_1000;смерть;mort;muerte;morte;الموت;死亡
beginner_1000;любовь;l'amour;amor;amor;الحب;爱
beginner_1000;сила;force;fuerza;força;القوة;实力
beginner_1000;здоровье;santé;salud;saúde;الصحة;健康
beginner_1000;болезнь;maladie;enfermedad;doença;المرض;疾病
beginner_1000;огонь;feu;fuego;fogo;النار;火
beginner_1000;земля;terre;tierra;terra;الأرض;地球
beginner_1000;небо;ciel;cielo;céu;السماء;天空
beginner_1000;солнце;soleil;sol;sol;الشمس;太阳
beginner_1000;луна;lune;luna;lua;القمر;月亮
beginner_1000;звезда;étoile;estrella;estrela;النجمة;明星
beginner_1000;дождь;pluie;lluvia;chuva;المطر;雨
beginner_1000;снег;neige;nieve;neve;الثلج;雪
beginner_1000;ветер;vent;viento;vento;الريح;风
beginner_1000;море;mer;mar;mar;البحر;海
beginner_1000;река;rivière;río;rio;النهر;河
beginner_1000;лес;forêt;bosque;floresta;الغابة;森林
beginner_1000;гора;montagne;montaña;montanha;الجبل;山
beginner_1000;цвет;couleur;color;cor;اللون;颜色
beginner_1000;красный;rouge;rojo;vermelho;اللون الأحمر;红色
beginner_1000;синий;bleu;azul;azul;الأزرق;蓝色
beginner_1000;зелёный;vert;verde;verde;أخضر;绿色
beginner_1000;белый;blanc;blanco;branco;الأبيض;白色
beginner_1000;чёрный;noir;negro;preto;أسود;黑色
beginner_1000;жёлтый;jaune;amarillo;amarelo;الأصفر;黄色
beginner_1000;серый;gris;gris;cinza;الرمادي;灰色
beginner_1000;говорить;parler;hablar;falar;الحديث;谈话
beginner_1000;сказать;disent;decir;dizer;قوله;说
beginner_1000;слушать;écoute;escucha;ouça;اسمعوا;听着
beginner_1000;слышать;entendre;escuchar;ouvir;سمع;听到
beginner_1000;видеть;voir;ver;veja;انظر;参见
beginner_1000;смотреть;regarder;mirar;assistir;شاهد;观看
beginner_1000;читать;lire;leer;leia;قرأ;读
beginner_1000;писать;écrire;escribir;escrever;اكتب;写
beginner_1000;делать;faire;hacer;fazer;القيام;做
beginner_1000;сделать;faire;hacer;fazer;القيام به;做
beginner_1000;идти;aller;ir;vá;اذهب;去
beginner_1000;ходить;marcher;caminar;caminhar;المشي;步行
beginner_1000;ехать;aller;ir;vá;اذهب;去
beginner_1000;приходить;viens;ven;venha;تعالوا;来吧
beginner_1000;уходить;partir;salir;sair;إجازة;离开
beginner_1000;жить;en direct;en vivo;ao vivo;مباشر;直播
beginner_1000;любить;l'amour;amor;amor;الحب;爱
beginner_1000;знать;sais;saber;sabe;أعلم;知道
beginner_1000;думать;pense;pensar;pense;فكر;认为
beginner_1000;понимать;comprendre;entender;entender;فهم;明白
beginner_1000;помнить;souviens-toi;recuerda;lembre-se;تذكر;记住
beginner_1000;забывать;oublier;olvidar;esqueça;ننسى;忘记了
beginner_1000;хотеть;veux;quiero;quero;يريد;想要
beginner_1000;мочь;pouvoir;poder;ser capaz;يستطيع;能够
beginner_1000;нужно;besoin;necesidad;necessidade;الحاجة;需要
beginner_1000;брать;prendre;tomar;pegue;خذ;采取
beginner_1000;дать;donner;dar;dar;أعط;给
beginner_1000;искать;recherche;buscar;pesquisa;بحث;搜索
beginner_1000;находить;trouver;encontrar;encontrar;تجد;找到
beginner_1000;работать;travail;trabajo;trabalho;العمل;工作
beginner_1000;учиться;étude;estudio;estudo;دراسة;研究
beginner_1000;играть;jouer;jugar;jogar;اللعب;播放
beginner_1000;спать;dormir;dormir;dormir;النوم;睡觉
beginner_1000;есть;oui;sí;sim;نعم;是的
beginner_1000;пить;boire;beber;beber;الشراب;喝
beginner_1000;открыть;ouvert;abierto;aberto;مفتوح;打开
beginner_1000;закрыть;fermer;cerrar;fechar;قريب;关闭
beginner_1000;начать;démarrer;inicio;início;البداية;开始
beginner_1000;закончить;terminer;terminar;terminar;انتهى;完成
beginner_1000;стоять;debout;soporte;posição;الموقف;站
beginner_1000;сидеть;s'asseoir;sentarse;sentar;الجلوس;坐
beginner_1000;лежать;allonge-toi;acuéstate;deitar;الاستلقاء;躺下
beginner_1000;бежать;courir;correr;correr;تشغيل;运行
beginner_1000;плыть;nager;nadar;nadar;السباحة;游泳
beginner_1000;покупать;acheter;comprar;comprar;شراء;购买
beginner_1000;продавать;vendre;vender;vender;بيع;出售
beginner_1000;платить;payer;pagar;pagar;الأجر;支付
beginner_1000;ждать;attends;espera;espere;انتظر;等等
beginner_1000;встречать;rencontrer;reunirse;conhecer;اللقاء;见面
beginner_1000;помогать;aide;ayuda;ajuda;مساعدة;帮助
beginner_1000;звонить;appeler;llamada;chamada;نداء;致电
beginner_1000;спрашивать;demander;preguntar;pergunte;اسأل;问
beginner_1000;отвечать;réponse;respuesta;resposta;الرد;回复
beginner_1000;нравиться;comme;me gusta;gosto;مثل;喜欢
beginner_1000;улыбаться;sourire;sonrisa;sorrir;ابتسم;微笑
beginner_1000;смеяться;rire;reír;rir;اضحك;笑
beginner_1000;плакать;pleurer;llorar;chorar;البكاء;哭了
beginner_1000;бояться;avoir peur;tener miedo;tenha medo;خافوا;害怕
beginner_1000;верить;crois;creer;acredite;صدقوا;相信
beginner_1000;открытый;ouvert;abierto;abrir;مفتوح;打开
beginner_1000;закрытый;fermé;cerrado;fechado;مغلق;已关闭
beginner_1000;тёплый;chaud;cálido;quente;دافئ;温暖
beginner_1000;холодный;froid;frío;frio;البرد;冷
beginner_1000;горячий;chaud;caliente;quente;حار;热
beginner_1000;быстрый;vite;rápido;rápido;سريع;快
beginner_1000;медленный;lent;lento;lento;بطيء;慢
beginner_1000;лёгкий;facile;fácil;fácil;سهل;简单
beginner_1000;трудный;difficile;difícil;difícil;صعب;困难
beginner_1000;чистый;nettoyer;limpio;limpo;نظيف;干净
beginner_1000;грязный;sale;sucio;sujo;قذرة;脏
beginner_1000;сильный;fort;fuerte;forte;قوية;强
beginner_1000;слабый;faible;débil;fraco;ضعيف;弱
beginner_1000;умный;intelligent;inteligente;inteligente;ذكي;聪明
beginner_1000;глупый;stupide;estúpido;estúpido;غبي;愚蠢
beginner_1000;свободный;gratuit;gratis;grátis;مجانا;免费
beginner_1000;занятый;occupé;ocupado;ocupado;مشغول;忙
beginner_1000;правый;à droite;correcto;certo;صحيح;对
beginner_1000;левый;gauche;izquierda;esquerda;اليسار;左
beginner_1000;внутри;à l'intérieur;dentro;dentro;بالداخل;里面
beginner_1000;снаружи;dehors;afuera;fora;خارجاً;外面
beginner_1000;рядом;près;cerca;perto;قريب;附近
beginner_1000;далеко;loin;lejos;longe;البعيد;远
beginner_1000;вместе;ensemble;juntos;juntos;معًا;在一起
beginner_1000;отдельно;séparément;por separado;separadamente;على حدة;分别
beginner_1000;вверх;vers le haut;arriba;para cima;يصل;向上
beginner_1000;вниз;vers le bas;abajo;para baixo;للأسفل;下
beginner_1000;вперёд;avancer;adelante;avançar;للأمام;向前
beginner_1000;назад;retour;atrás;voltar;الرجوع;返回
beginner_1000;рано;tôt;temprano;cedo;مبكرًا;早
beginner_1000;поздно;en retard;tarde;atrasado;متأخرا;迟到了
beginner_1000;быстро;rapidement;rápidamente;rapidamente;بسرعة;快点
beginner_1000;медленно;lentement;lentamente;lentamente;ببطء;慢慢地
beginner_1000;просто;simplement;simplemente;simplesmente;بكل بساطة;简单地说
beginner_1000;трудно;dur;duro;difícil;صعب;硬
beginner_1000;легко;facilement;fácilmente;facilmente;بسهولة;轻松
beginner_1000;тихо;tranquillement;en silencio;silenciosamente;بهدوء;悄悄地
beginner_1000;громко;fort;en voz alta;alto;بصوت عالٍ;大声
beginner_1000;правда;vérité;verdad;verdade;الحقيقة;真相
beginner_1000;ложь;mentir;mentira;mentira;كذب;谎言
beginner_1000;начало;début;comienzo;começando;البداية;开始
beginner_1000;конец;fin;fin;fim;انتهى;结束
beginner_1000;имя;nom;nombre;nome;الاسم;姓名
beginner_1000;число;numéro;número;número;رقم;号码
beginner_1000;часть;partie;parte;parte;الجزء;部分
beginner_1000;место;lieu;lugar;lugar;المكان;地点
beginner_1000;случай;cas;caso;caso;القضية;案例
beginner_1000;пример;exemple;ejemplo;exemplo;مثال;示例
beginner_1000;история;histoire;historia;história;التاريخ;历史
beginner_1000;новость;actualités;noticias;notícias;خبر;新闻
beginner_1000;идея;idée;idea;ideia;فكرة;想法
beginner_1000;проблема;problème;problema;problema;مشكلة;问题
beginner_1000;возможность;opportunité;oportunidad;oportunidade;فرصة;机会
beginner_1000;решение;décision;decisión;decisão;القرار;决定
beginner_1000;результат;résultat;resultado;resultado;النتيجة;结果
beginner_1000;цель;objectif;objetivo;meta;الهدف;目标
beginner_1000;план;plan;plano;plano;الخطة;计划
beginner_1000;правило;règle;regla;regra;حكم;规则
beginner_1000;цена;prix;precio;preço;السعر;价格
beginner_1000;рынок;marché;mercado;mercado;السوق;市场
beginner_1000;компания;entreprise;empresa;empresa;شركة;公司
beginner_1000;команда;équipe;equipo;equipe;الفريق;团队
beginner_1000;начальник;patron;jefe;chefe;رئيس;老板
beginner_1000;офис;bureau;oficina;escritório;مكتب;办公室
beginner_1000;письмо;lettre;carta;carta;حرف;信
beginner_1000;телефон;téléphone;teléfono;telefone;الهاتف;电话
beginner_1000;компьютер;ordinateur;computadora;computador;الكمبيوتر;计算机
beginner_1000;экран;Bouton;pantalla Botón;tela botão;شاشة;屏幕
beginner_1000;кнопка;button;button;button;زر;按钮
beginner_1000;игра;jeu;juego;jogo;لعبة;游戏
beginner_1000;урок;leçon;lección;lição;الدرس;课
beginner_1000;музыка;musique;música;música;الموسيقى;音乐
beginner_1000;фильм;film;película;filme;الفيلم;电影
beginner_1000;картина;photo;imagen;foto;الصورة;图片
beginner_1000;песня;chanson;canción;música;أغنية;歌曲
beginner_1000;голос;voix;voz;voz;صوت;声音
beginner_1000;звук;son;sonido;som;الصوت;声音
beginner_1000;шум;bruit;ruido;ruído;الضوضاء;噪音
beginner_1000;свет;lumière;luz;luz;الضوء;光
beginner_1000;тень;ombre;sombra;sombra;الظل;影子
beginner_1000;форма;formulaire;formulario;formulário;النموذج;表格
beginner_1000;вид;tapez;tipo;tipo;النوع;类型
beginner_1000;путь;chemin;camino;caminho;المسار;路径
beginner_1000;движение;mouvement;movimiento;movimento;الحركة;运动
beginner_1000;начальство;gestion;gestión;gestão;الإدارة;管理
beginner_1000;правительство;gouvernement;gobierno;governo;الحكومة;政府
beginner_1000;закон;loi;ley;lei;القانون;法
beginner_1000;война;guerre;guerra;guerra;الحرب;战争
beginner_1000;мирный;paisible;pacífico;pacífico;سلمية;平静
beginner_1000;победа;victoire;victoria;vitória;النصر;胜利
beginner_1000;свобода;liberté;libertad;liberdade;الحرية;自由
beginner_1000;память;mémoire;memoria;memória;الذاكرة;记忆
beginner_1000;мечта;rêve;sueño;sonho;الحلم;梦想
beginner_1000;надежда;espoir;esperanza;esperança;الأمل;希望
beginner_1000;страх;peur;miedo;medo;الخوف;恐惧
beginner_1000;радость;joie;alegría;alegria;الفرح;喜悦
beginner_1000;счастье;bonheur;felicidad;felicidade;السعادة;幸福
beginner_1000;печаль;tristesse;tristeza;tristeza;الحزن;悲伤
beginner_1000;энергия;énergie;energía;energia;الطاقة;能源
beginner_1000;опыт;expérience;experiencia;experiência;الخبرة;经验
beginner_1000;ошибка;erreur;error;erro;خطأ;错误
beginner_1000;успех;succès;éxito;sucesso;النجاح;成功
beginner_1000;помощь;aide;ayuda;ajuda;مساعدة;帮助
beginner_1000;внимание;attention;atención;atenção;الاهتمام;注意
beginner_1000;интерес;intérêts;interés;interesse;الفائدة;兴趣
beginner_1000;вкус;goût;sabor;gosto;الذوق;味道
beginner_1000;запах;odeur;olor;cheiro;الرائحة;气味
beginner_1000;касаться;toucher;toque;toque;اللمس;触摸
beginner_1000;чувствовать;sentir;sentir;sentir;يشعر;感觉
beginner_1000;решать;décider;decidir;decidir;تقرر;决定
beginner_1000;менять;changement;cambio;mudança;التغيير;改变
beginner_1000;создавать;créer;crear;criar;خلق;创建
beginner_1000;строить;construire;construir;construir;البناء;构建
beginner_1000;ломать;pause;descanso;pausa;استراحة;打破
beginner_1000;нести;ours;oso;urso;الدب;熊
beginner_1000;держать;tenir;mantener;espera;عقد;保持
beginner_1000;терять;perdre;perder;perder;يخسر;失去
beginner_1000;выигрывать;gagner;ganar;vitória;الفوز;获胜
beginner_1000;проигрывать;jouer;jugar;jogar;اللعب;播放
beginner_1000;повторять;répéter;repetir;repetir;كرر;重复
beginner_1000;тренировать;former;tren;trem;القطار;火车
beginner_1000;учить;enseigner;enseñar;ensinar;يعلم;教
beginner_1000;выучить;apprendre;aprender;aprender;تعلم;学习
beginner_1000;перевод;traduction;traducción;tradução;الترجمة;翻译
beginner_1000;выбирать;sélectionner;seleccionar;selecione;اختر;选择
beginner_1000;сравнивать;comparer;comparar;comparar;قارن;比较
beginner_1000;объяснять;expliquer;explicar;explicar;شرح;解释一下
beginner_1000;показывать;montrer;mostrar;mostrar;عرض;显示
beginner_1000;скрывать;cacher;ocultar;ocultar;إخفاء;隐藏
beginner_1000;оставлять;partir;salir;sair;إجازة;离开
beginner_1000;удалять;supprimer;eliminar;excluir;حذف;删除
beginner_1000;подтверждать;confirmer;confirmar;confirmar;تأكيد;确认
beginner_1000;ошибаться;avoir tort;estar equivocado;estar errado;يكون مخطئا;错了
beginner_1000;закреплять;attacher;sujetar;apertar;يثبت;系紧
beginner_1000;повторение;avis;revisión;revisão;مراجعة;评论
beginner_1000;статистика;statistiques;estadísticas;estatísticas;إحصائيات;统计
beginner_1000;похвала;éloge;alabanza;elogio;الحمد;好评
beginner_1000;результаты;résultats;resultados;resultados;النتائج;结果
beginner_1000;раунд;tour;ronda;rodada;الجولة;圆
beginner_1000;серия;séquence;racha;sequência;الخط;连胜
beginner_1000;ответить;réponse;respuesta;resposta;الرد;回复
beginner_1000;угадать;devine;adivinar;acho;الظن;猜猜
beginner_1000;ошибочный;incorrect;incorrecto;incorreto;غير صحيح;不正确
beginner_1000;правильный;correct;correcto;correto;صحيح;正确
beginner_1000;главный;principal;principal;principal;الرئيسية;主要
beginner_1000;домой;maison;casa;casa;الوطن;家
beginner_1000;двуязычный;bilingue;bilingüe;bilíngue;ثنائي اللغة;双语
beginner_1000;яркий;brillant;brillante;brilhante;مشرق;明亮
beginner_1000;тёмный;sombre;oscuro;escuro;الظلام;黑暗
beginner_1000;красивый;magnifique;hermosa;lindo;جميلة;美丽
beginner_1000;полезный;utile;útil;útil;مفيد;有用
beginner_1000;интересный;intéressant;interesante;interessante;مثير للاهتمام;有趣
beginner_1000;понятный;effacer;claro;limpar;واضح;清除
beginner_1000;удобный;confortable;cómodo;confortável;مريح;舒适
beginner_1000;сильнее;plus fort;más fuerte;mais forte;أقوى;更强
beginner_1000;лучше;mieux;mejor;melhor;أفضل;更好
beginner_1000;хуже;pire;peor;pior;أسوأ;更糟 再次
beginner_1000;снова;encore;otra vez;novamente;مرة أخرى;again
beginner_1000;дальше;suivant;siguiente;próximo;التالي;下一步
beginner_1000;готово;terminé;hecho;concluído;تم;完成
beginner_1000;иметь;ont;tener;tem;قد;有
beginner_1000;существовать;existent;existen;existe;موجود;存在
beginner_1000;становиться;devenir;convertirse;tornar-se;أصبح;成为
beginner_1000;казаться;semble;parece;parece;يبدو;似乎
beginner_1000;оказываться;s'avère être;resulta ser;acabou sendo;أصبح;结果是
beginner_1000;оставаться;rester;quedarse;fique;البقاء;留下来
beginner_1000;происходить;arrive;sucede;acontecer;يحدث;发生
beginner_1000;получать;recevoir;recibir;receber;استقبل;接收
beginner_1000;использовать;utiliser;uso;uso;الاستعمال;使用
beginner_1000;считать;compte;contar;contagem;العد;计数
beginner_1000;видеться;à bientôt;nos vemos;até mais;نراكم;再见
beginner_1000;нуждаться;besoin;necesidad;necessidade;الحاجة;需要
beginner_1000;следовать;suivre;seguir;seguir;تابع;关注
beginner_1000;пытаться;essayez;intentar;tente;حاول;尝试
beginner_1000;пробовать;essayez;intentar;tente;حاول;尝试
beginner_1000;решить;résoudre;resolver;resolver;حل;解决
beginner_1000;позволять;autoriser;permitir;permitir;السماح;允许
beginner_1000;позволить;autoriser;permitir;permitir;السماح;允许
beginner_1000;начинаться;commencer;comenzar;começar;يبدأ;开始
beginner_1000;продолжать;continuer;continuar;continuar;تابع;继续
beginner_1000;заканчиваться;fin;fin;fim;النهاية;结束
beginner_1000;возвращаться;retour;volver;retornar;العودة;返回
beginner_1000;возникать;surgissent;surgir;surgem;تنشأ;出现
beginner_1000;приводить;résultat;resultado;resultado;النتيجة;结果
beginner_1000;создать;créer;crear;criar;إنشاء;创建
beginner_1000;проводить;effectuer;llevar a cabo;realizar;نفذ;执行
beginner_1000;вести;mener;plomo;liderar;الرصاص;铅
beginner_1000;приносить;apporter;traer;trazer;أحضر;带来
beginner_1000;посылать;envoyer;enviar;enviar;أرسل;发送
beginner_1000;полагать;crois;creer;acredite;صدقوا;相信
beginner_1000;включать;incluent;incluir;incluir;يشمل;包括
beginner_1000;исключать;exclure;excluir;excluir;استبعاد;排除
beginner_1000;требовать;demande;demanda;demanda;الطلب;需求
beginner_1000;проверять;vérifier;comprobar;verificar;الفحص;检查
beginner_1000;собирать;collecter;recoger;coletar;جمع;收集
beginner_1000;собрать;collecter;recoger;coletar;جمع;收集
beginner_1000;показываться;montrer;mostrar;mostrar;عرض;显示
beginner_1000;содержать;contiennent;contiene;contém;تحتوي على;包含
beginner_1000;производить;produire;producir;produzir;إنتاج;产生
beginner_1000;предлагать;offre;oferta;oferta;العرض;报价
beginner_1000;достигать;portée;alcance;alcance;الوصول;达到
beginner_1000;достичь;atteindre;lograr;alcançar;تحقيق;实现
beginner_1000;выбрать;sélectionner;seleccionar;selecione;اختر;选择
beginner_1000;побеждать;gagner;ganar;vitória;الفوز;获胜
beginner_1000;победить;gagner;ganar;vitória;الفوز;获胜
beginner_1000;проиграть;perdre;perder;perder;الخسارة;失去
beginner_1000;выполнять;exécuter;ejecutar;executar;تنفيذ;执行
beginner_1000;исполнять;exécuter;ejecutar;executar;تنفيذ;执行
beginner_1000;готовить;cuisinier;cocinar;cozinhar;طبخ;做饭
beginner_1000;приготовить;cuisinier;cocinar;cozinhar;طبخ;做饭
beginner_1000;развивать;développer;desarrollar;desenvolver;تطوير;发展
beginner_1000;развиваться;développer;desarrollar;desenvolver;تطوير;发展
beginner_1000;сохранять;sauvegarder;guardar;salvar;حفظ;保存
beginner_1000;сохранить;sauvegarder;guardar;salvar;حفظ;保存
beginner_1000;защищать;protéger;proteger;proteger;الحماية;保护
beginner_1000;защитить;protéger;proteger;proteger;الحماية;保护
beginner_1000;напоминать;rappelle;recordar;lembrar;تذكير;提醒
beginner_1000;напомнить;rappelle;recordar;lembrar;أذكر;提醒
beginner_1000;определять;définir;definir;definir;تعريف;定义
beginner_1000;определить;définir;definir;definir;تعريف;定义
beginner_1000;описывать;décrire;describir;descrever;وصف;描述
beginner_1000;описать;décrire;describir;descrever;وصف;描述
beginner_1000;обсуждать;discuter;discutir;discutir;ناقش;讨论
beginner_1000;обсудить;discuter;discutir;discutir;ناقش;讨论
beginner_1000;представлять;représentent;representan;representam;يمثل;代表
beginner_1000;представить;soumettre;enviar;enviar;تقديم;提交
beginner_1000;появляться;apparaissent;aparecen;aparecem;تظهر;出现
beginner_1000;появиться;apparaissent;aparecen;aparecem;يظهر;出现
beginner_1000;уезжать;partir;salir;sair;الرحيل;离开
beginner_1000;приезжать;viens;ven;venha;تعالوا;来吧
beginner_1000;соглашаться;d'accord;de acuerdo;concordo;موافق;同意
beginner_1000;согласиться;d'accord;de acuerdo;concordo;متفق عليه;同意
beginner_1000;отказываться;refuser;rechazar;recusar;رفض;拒绝
beginner_1000;отказаться;refuser;rechazar;recusar;رفض;拒绝
beginner_1000;поднимать;augmenter;subir;aumentar;رفع;提高
beginner_1000;поднять;augmenter;aumentar;aumentar;رفع;提高
beginner_1000;опускать;omettre;omitir;omitir;حذف;省略
beginner_1000;опустить;omettre;omitir;omitir;حذف;省略
beginner_1000;меняться;changement;cambio;mudança;التغيير;改变
beginner_1000;изменять;changement;cambio;mudança;التغيير;改变
beginner_1000;измениться;changement;cambio;mudança;التغيير;改变
beginner_1000;слышаться;être entendu;ser escuchado;ser ouvido;يسمع;被听到
