block;russian;english;examples
beginner_1000;автобус;bus;
beginner_1000;самолёт;plane;
beginner_1000;город;city;
beginner_1000;страна;country;
beginner_1000;мир;world;
beginner_1000;улица;street;
beginner_1000;школа;school;
beginner_1000;университет;university;
beginner_1000;учитель;teacher;
beginner_1000;ученик;student;
beginner_1000;язык;language;
beginner_1000;вода;water;
beginner_1000;еда;food;
beginner_1000;хлеб;bread;
beginner_1000;молоко;milk;
beginner_1000;чай;tea;
beginner_1000;кофе;coffee;
beginner_1000;яблоко;apple;
beginner_1000;мясо;meat;
beginner_1000;рыба;fish;
beginner_1000;суп;soup;
beginner_1000;соль;salt;
beginner_1000;сахар;sugar;
beginner_1000;рука;hand;
beginner_1000;нога;leg;
beginner_1000;голова;head;
beginner_1000;глаз;eye;
beginner_1000;лицо;face;
beginner_1000;волосы;hair;
beginner_1000;сердце;heart;
beginner_1000;жизнь;life;
beginner_1000;смерть;death;
beginner_1000;любовь;love;
beginner_1000;сила;strength;
beginner_1000;здоровье;health;
beginner_1000;болезнь;illness;
beginner_1000;огонь;fire;
beginner_1000;земля;earth;
beginner_1000;небо;sky;
beginner_1000;солнце;sun;
beginner_1000;луна;moon;
beginner_1000;звезда;star;
beginner_1000;дождь;rain;
beginner_1000;снег;snow;
beginner_1000;ветер;wind;
beginner_1000;море;sea;
beginner_1000;река;river;
beginner_1000;лес;forest;
beginner_1000;гора;mountain;
beginner_1000;цвет;color;
beginner_1000;красный;red;
beginner_1000;синий;blue;
beginner_1000;зелёный;green;
beginner_1000;белый;white;
beginner_1000;чёрный;black;
beginner_1000;жёлтый;yellow;
beginner_1000;серый;gray;
beginner_1000;говорить;speak;
beginner_1000;сказать;say;
beginner_1000;слушать;listen;
beginner_1000;слышать;hear;
beginner_1000;видеть;see;
beginner_1000;смотреть;watch;
beginner_1000;читать;read;
beginner_1000;писать;write;
beginner_1000;делать;do;
beginner_1000;сделать;make;
beginner_1000;идти;go;
beginner_1000;ходить;walk;
beginner_1000;ехать;ride;
beginner_1000;приходить;arrive;
beginner_1000;уходить;leave;
beginner_1000;жить;live;
beginner_1000;любить;love;
beginner_1000;знать;know;
beginner_1000;думать;think;
beginner_1000;понимать;understand;
beginner_1000;помнить;remember;
beginner_1000;забывать;forget;
beginner_1000;хотеть;want;
beginner_1000;мочь;can;
beginner_1000;нужно;need;
beginner_1000;брать;take;
beginner_1000;дать;give;
beginner_1000;искать;look for;
beginner_1000;находить;find;
beginner_1000;работать;work;
beginner_1000;учиться;study;
beginner_1000;играть;play;
beginner_1000;спать;sleep;
beginner_1000;есть;eat;
beginner_1000;пить;drink;
beginner_1000;открыть;open;
beginner_1000;закрыть;close;
beginner_1000;начать;start;
beginner_1000;закончить;finish;
beginner_1000;стоять;stand;
beginner_1000;сидеть;sit;
beginner_1000;лежать;lie;
beginner_1000;бежать;run;
beginner_1000;плыть;swim;
beginner_1000;покупать;buy;
beginner_1000;продавать;sell;
beginner_1000;платить;pay;
beginner_1000;ждать;wait;
beginner_1000;встречать;meet;
beginner_1000;помогать;help;
beginner_1000;звонить;call;
beginner_1000;спрашивать;ask;
beginner_1000;отвечать;answer;
beginner_1000;нравиться;like;
beginner_1000;улыбаться;smile;
beginner_1000;смеяться;laugh;
beginner_1000;плакать;cry;
beginner_1000;бояться;fear;
beginner_1000;верить;believe;
beginner_1000;открытый;open;
beginner_1000;закрытый;closed;
beginner_1000;тёплый;warm;
beginner_1000;холодный;cold;
beginner_1000;горячий;hot;
beginner_1000;быстрый;fast;
beginner_1000;медленный;slow;
beginner_1000;лёгкий;easy;
beginner_1000;трудный;difficult;
beginner_1000;чистый;clean;
beginner_1000;грязный;dirty;
beginner_1000;сильный;strong;
beginner_1000;слабый;weak;
beginner_1000;умный;smart;
beginner_1000;глупый;stupid;
beginner_1000;свободный;free;
beginner_1000;занятый;busy;
beginner_1000;правый;right;
beginner_1000;левый;left;
beginner_1000;внутри;inside;
beginner_1000;снаружи;outside;
beginner_1000;рядом;near;
beginner_1000;далеко;far;
beginner_1000;вместе;together;
beginner_1000;отдельно;separately;
beginner_1000;вверх;up;
beginner_1000;вниз;down;
beginner_1000;вперёд;forward;
beginner_1000;назад;back;
beginner_1000;рано;early;
beginner_1000;поздно;late;
beginner_1000;быстро;quickly;
beginner_1000;медленно;slowly;
beginner_1000;просто;simply;
beginner_1000;трудно;hard;
beginner_1000;легко;easily;
beginner_1000;тихо;quietly;
beginner_1000;громко;loudly;
beginner_1000;правда;truth;
beginner_1000;ложь;lie;
beginner_1000;начало;beginning;
beginner_1000;конец;end;
beginner_1000;имя;name;
beginner_1000;число;number;
beginner_1000;часть;part;
beginner_1000;место;place;
beginner_1000;случай;case;
beginner_1000;пример;example;
beginner_1000;история;history;
beginner_1000;новость;news;
beginner_1000;идея;idea;
beginner_1000;проблема;problem;
beginner_1000;возможность;opportunity;
beginner_1000;решение;decision;
beginner_1000;результат;result;
beginner_1000;цель;goal;
beginner_1000;план;plan;
beginner_1000;правило;rule;
beginner_1000;цена;price;
beginner_1000;рынок;market;
beginner_1000;компания;company;
beginner_1000;команда;team;
beginner_1000;начальник;boss;
beginner_1000;офис;office;
beginner_1000;письмо;letter;
beginner_1000;телефон;phone;
beginner_1000;компьютер;computer;
beginner_1000;экран;screen;
beginner_1000;кнопка;button;
beginner_1000;игра;game;
beginner_1000;урок;lesson;
beginner_1000;музыка;music;
beginner_1000;фильм;movie;
beginner_1000;картина;picture;
beginner_1000;песня;song;
beginner_1000;голос;voice;
beginner_1000;звук;sound;
beginner_1000;шум;noise;
beginner_1000;свет;light;
beginner_1000;тень;shadow;
beginner_1000;форма;form;
beginner_1000;вид;type;
beginner_1000;путь;path;
beginner_1000;движение;movement;
beginner_1000;начальство;management;
beginner_1000;правительство;government;
beginner_1000;закон;law;
beginner_1000;война;war;
beginner_1000;мирный;peaceful;
beginner_1000;победа;victory;
beginner_1000;свобода;freedom;
beginner_1000;память;memory;
beginner_1000;мечта;dream;
beginner_1000;надежда;hope;
beginner_1000;страх;fear;
beginner_1000;радость;joy;
beginner_1000;счастье;happiness;
beginner_1000;печаль;sadness;
beginner_1000;энергия;energy;
beginner_1000;опыт;experience;
beginner_1000;ошибка;mistake;
beginner_1000;успех;success;
beginner_1000;помощь;help;
beginner_1000;внимание;attention;
beginner_1000;интерес;interest;
beginner_1000;вкус;taste;
beginner_1000;запах;smell;
beginner_1000;касаться;touch;
beginner_1000;чувствовать;feel;
beginner_1000;решать;solve;
beginner_1000;менять;change;
beginner_1000;создавать;create;
beginner_1000;строить;build;
beginner_1000;ломать;break;
beginner_1000;нести;carry;
beginner_1000;держать;hold;
beginner_1000;терять;lose;
beginner_1000;выигрывать;win;
beginner_1000;проигрывать;lose;
beginner_1000;повторять;repeat;
beginner_1000;тренировать;train;
beginner_1000;учить;learn;
beginner_1000;выучить;master;
beginner_1000;перевод;translation;
beginner_1000;выбирать;choose;
beginner_1000;сравнивать;compare;
beginner_1000;объяснять;explain;
beginner_1000;показывать;show;
beginner_1000;скрывать;hide;
beginner_1000;оставлять;keep;
beginner_1000;удалять;remove;
beginner_1000;подтверждать;confirm;
beginner_1000;ошибаться;make a mistake;
beginner_1000;закреплять;reinforce;
beginner_1000;повторение;review;
beginner_1000;статистика;statistics;
beginner_1000;похвала;praise;
beginner_1000;результаты;results;
beginner_1000;раунд;round;
beginner_1000;серия;streak;
beginner_1000;ответить;reply;
beginner_1000;угадать;guess;
beginner_1000;ошибочный;incorrect;
beginner_1000;правильный;correct;
beginner_1000;главный;main;
beginner_1000;домой;home;
beginner_1000;двуязычный;bilingual;
beginner_1000;яркий;bright;
beginner_1000;тёмный;dark;
beginner_1000;красивый;beautiful;
beginner_1000;полезный;useful;
beginner_1000;интересный;interesting;
beginner_1000;понятный;clear;
beginner_1000;удобный;comfortable;
beginner_1000;сильнее;stronger;
beginner_1000;лучше;better;
beginner_1000;хуже;worse;
beginner_1000;снова;again;
beginner_1000;дальше;next;
beginner_1000;готово;done;
beginner_1000;иметь;have;
beginner_1000;существовать;exist;
beginner_1000;становиться;become;
beginner_1000;казаться;seem;
beginner_1000;оказываться;turn out;
beginner_1000;оставаться;remain;
beginner_1000;происходить;happen;
beginner_1000;получать;receive;
beginner_1000;использовать;use;
beginner_1000;считать;consider;
beginner_1000;видеться;appear;
beginner_1000;нуждаться;need;
beginner_1000;следовать;follow;
beginner_1000;пытаться;try;
beginner_1000;пробовать;try;
beginner_1000;решить;decide;
beginner_1000;позволять;allow;
beginner_1000;позволить;allow;
beginner_1000;начинаться;begin;
beginner_1000;продолжать;continue;
beginner_1000;заканчиваться;end;
beginner_1000;возвращаться;return;
beginner_1000;возникать;arise;
beginner_1000;приводить;lead;
beginner_1000;создать;create;
beginner_1000;проводить;spend;
beginner_1000;вести;lead;
beginner_1000;приносить;bring;
beginner_1000;посылать;send;
beginner_1000;полагать;suppose;
beginner_1000;включать;include;
beginner_1000;исключать;exclude;
beginner_1000;требовать;require;
beginner_1000;проверять;check;
beginner_1000;собирать;collect;
beginner_1000;собрать;gather;
beginner_1000;показываться;appear;
beginner_1000;содержать;contain;
beginner_1000;производить;produce;
beginner_1000;предлагать;offer;
beginner_1000;достигать;reach;
beginner_1000;достичь;achieve;
beginner_1000;выбрать;choose;
beginner_1000;побеждать;win;
beginner_1000;победить;defeat;
beginner_1000;проиграть;lose;
beginner_1000;выполнять;perform;
beginner_1000;исполнять;fulfill;
beginner_1000;готовить;prepare;
beginner_1000;приготовить;prepare;
beginner_1000;развивать;develop;
beginner_1000;развиваться;develop;
beginner_1000;сохранять;preserve;
beginner_1000;сохранить;save;
beginner_1000;защищать;protect;
beginner_1000;защитить;protect;
beginner_1000;напоминать;remind;
beginner_1000;напомнить;remind;
beginner_1000;определять;define;
beginner_1000;определить;determine;
beginner_1000;описывать;describe;
beginner_1000;описать;describe;
beginner_1000;обсуждать;discuss;
beginner_1000;обсудить;discuss;
beginner_1000;представлять;represent;
beginner_1000;представить;present;
beginner_1000;появляться;appear;
beginner_1000;появиться;appear;
beginner_1000;уезжать;leave;
beginner_1000;приезжать;arrive;
beginner_1000;соглашаться;agree;
beginner_1000;согласиться;agree;
beginner_1000;отказываться;refuse;
beginner_1000;отказаться;refuse;
beginner_1000;поднимать;raise;
beginner_1000;поднять;lift;
beginner_1000;опускать;lower;
beginner_1000;опустить;lower;
beginner_1000;меняться;change;
beginner_1000;изменять;change;
beginner_1000;измениться;change;
beginner_1000;слышаться;sound;
beginner_1000;влиять;influence;
beginner_1000;повлиять;influence;
beginner_1000;зависеть;depend;
beginner_1000;стоить;cost;
beginner_1000;означать;mean;
beginner_1000;принимать;accept;
beginner_1000;принять;accept;
beginner_1000;передавать;pass;
beginner_1000;передать;transfer;
beginner_1000;получиться;turn out;
beginner_1000;предпочитать;prefer;
beginner_1000;переводить;translate;
beginner_1000;перевести;translate;
beginner_1000;замечать;notice;
beginner_1000;заметить;notice;
beginner_1000;сравнить;compare;
beginner_1000;повторить;repeat;
beginner_1000;обещать;promise;
beginner_1000;пообещать;promise;
beginner_1000;рисовать;draw;
beginner_1000;нарисовать;draw;
beginner_1000;танцевать;dance;
beginner_1000;путешествовать;travel;
beginner_1000;плавать;swim;
beginner_1000;побежать;run;
beginner_1000;лететь;fly;
beginner_1000;летать;fly;
beginner_1000;обедать;have lunch;
beginner_1000;ужинать;have dinner;
beginner_1000;завтракать;have breakfast;
beginner_1000;улыбнуться;smile;
beginner_1000;радоваться;rejoice;
beginner_1000;рассказывать;tell;
beginner_1000;рассказать;tell;
beginner_1000;обучать;teach;
beginner_1000;научить;teach;
beginner_1000;отдыхать;rest;
beginner_1000;отдохнуть;rest;
beginner_1000;посетить;visit;
beginner_1000;посещать;visit;
beginner_1000;сотрудничать;cooperate;
beginner_1000;делиться;share;
beginner_1000;поделиться;share;
beginner_1000;сопротивляться;resist;
beginner_1000;прикрывать;cover;
beginner_1000;накрывать;cover;
beginner_1000;печатать;print;
beginner_1000;напечатать;print;
beginner_1000;копировать;copy;
beginner_1000;скопировать;copy;
beginner_1000;вставлять;insert;
beginner_1000;вставить;insert;
beginner_1000;включить;turn on;
beginner_1000;выключать;turn off;
beginner_1000;выключить;turn off;
beginner_1000;запускать;launch;
beginner_1000;запустить;launch;
beginner_1000;загружать;load;
beginner_1000;загрузить;load;
beginner_1000;сохраняться;be saved;
beginner_1000;исследовать;explore;
beginner_1000;исследование;research;
beginner_1000;наблюдать;observe;
beginner_1000;наблюдение;observation;
beginner_1000;изучать;study;
beginner_1000;изучить;study;
beginner_1000;сдавать;submit;
beginner_1000;сдать;hand in;
beginner_1000;удаваться;succeed;
beginner_1000;удаться;succeed;
beginner_1000;поблагодарить;thank;
beginner_1000;благодарить;thank;
beginner_1000;извиняться;apologize;
beginner_1000;извинить;forgive;
beginner_1000;прощать;forgive;
beginner_1000;простить;forgive;
beginner_1000;обнимать;hug;
beginner_1000;обнять;hug;
beginner_1000;целовать;kiss;
beginner_1000;поцеловать;kiss;
beginner_1000;строиться;be built;
beginner_1000;познакомиться;meet;
beginner_1000;знакомиться;get acquainted;
beginner_1000;случаться;occur;
beginner_1000;случиться;occur;
beginner_1000;состоять;consist;
beginner_1000;принадлежать;belong;
beginner_1000;обладать;possess;
beginner_1000;выражать;express;
beginner_1000;выразить;express;
beginner_1000;называть;call;
beginner_1000;назвать;name;
beginner_1000;обращать;turn;
beginner_1000;обратить;pay attention;
beginner_1000;встречаться;meet;
beginner_1000;расходовать;spend;
beginner_1000;тратить;spend;
beginner_1000;потратить;spend;
beginner_1000;экономить;save;
beginner_1000;сберегать;save;
beginner_1000;поддерживать;support;
beginner_1000;поддержать;support;
beginner_1000;доверять;trust;
beginner_1000;доверие;trust;
beginner_1000;управлять;manage;
beginner_1000;управление;management;
beginner_1000;выпускать;release;
beginner_1000;выпустить;release;
beginner_1000;приглашать;invite;
beginner_1000;пригласить;invite;
beginner_1000;поздравлять;congratulate;
beginner_1000;поздравить;congratulate;
beginner_1000;предупреждать;warn;
beginner_1000;предупредить;warn;
beginner_1000;потреблять;consume;
beginner_1000;потребление;consumption;
beginner_1000;завершать;complete;
beginner_1000;завершить;complete;
beginner_1000;исправлять;correct;
beginner_1000;исправить;correct;
beginner_1000;починить;fix;
beginner_1000;ломаться;break down;
beginner_1000;расти;grow;
beginner_1000;вырастать;grow up;
beginner_1000;повышать;increase;
beginner_1000;повысить;increase;
beginner_1000;уменьшать;reduce;
beginner_1000;уменьшить;reduce;
beginner_1000;добавлять;add;
beginner_1000;добавить;add;
beginner_1000;ударить;hit;
beginner_1000;ударять;hit;
beginner_1000;толкать;push;
beginner_1000;толкнуть;push;
beginner_1000;тянуть;pull;
beginner_1000;потянуть;pull;
beginner_1000;резать;cut;
beginner_1000;разрезать;cut;
beginner_1000;соединять;connect;
beginner_1000;соединить;connect;
beginner_1000;разделять;separate;
beginner_1000;разделить;divide;
beginner_1000;смешивать;mix;
beginner_1000;смешать;mix;
beginner_1000;сушить;dry;
beginner_1000;сухой;dry;
beginner_1000;мокрый;wet;
beginner_1000;мягкий;soft;
beginner_1000;твёрдый;hard;
beginner_1000;острый;sharp;
beginner_1000;тупой;dull;
beginner_1000;глубокий;deep;
beginner_1000;мелкий;shallow;
beginner_1000;широкий;wide;
beginner_1000;узкий;narrow;
beginner_1000;пустой;empty;
beginner_1000;полный;full;
beginner_1000;толстый;thick;
beginner_1000;тонкий;thin;
beginner_1000;тяжёлый;heavy;
beginner_1000;сладкий;sweet;
beginner_1000;кислый;sour;
beginner_1000;горький;bitter;
beginner_1000;солёный;salty;
beginner_1000;свежий;fresh;
beginner_1000;спелый;ripe;
beginner_1000;сырой;raw;
beginner_1000;варёный;boiled;
beginner_1000;жареный;fried;
beginner_1000;печёный;baked;
beginner_1000;уменьшенный;reduced;
beginner_1000;основной;main;
beginner_1000;второй;second;
beginner_1000;третий;third;
beginner_1000;четвёртый;fourth;
beginner_1000;пятый;fifth;
beginner_1000;общий;general;
beginner_1000;частный;private;
beginner_1000;личный;personal;
beginner_1000;общественный;public;
beginner_1000;государственный;state;
beginner_1000;местный;local;
beginner_1000;международный;international;
beginner_1000;национальный;national;
beginner_1000;прошлый;past;
beginner_1000;будущий;future;
beginner_1000;настоящий;present;
beginner_1000;ранний;early;
beginner_1000;поздний;late;
beginner_1000;редкий;rare;
beginner_1000;обычный;usual;
beginner_1000;странный;strange;
beginner_1000;пространный;extensive;
beginner_1000;сложный;complex;
beginner_1000;простой;simple;
beginner_1000;удивительный;amazing;
beginner_1000;приятный;pleasant;
beginner_1000;неприятный;unpleasant;
beginner_1000;опасный;dangerous;
beginner_1000;безопасный;safe;
beginner_1000;вредный;harmful;
beginner_1000;необходимый;necessary;
beginner_1000;возможный;possible;
beginner_1000;невозможный;impossible;
beginner_1000;реальный;real;
beginner_1000;ложный;false;
beginner_1000;верный;faithful;
beginner_1000;неверный;wrong;
beginner_1000;справедливый;fair;
beginner_1000;нечестный;dishonest;
beginner_1000;честный;honest;
beginner_1000;смелый;brave;
beginner_1000;храбрый;brave;
beginner_1000;трусливый;cowardly;
beginner_1000;спокойный;calm;
beginner_1000;тихий;quiet;
beginner_1000;громкий;loud;
beginner_1000;шумный;noisy;
beginner_1000;грустный;sad;
beginner_1000;весёлый;cheerful;
beginner_1000;сердитый;angry;
beginner_1000;добрый;kind;
beginner_1000;злой;evil;
beginner_1000;жестокий;cruel;
beginner_1000;вежливый;polite;
beginner_1000;грубый;rude;
beginner_1000;богатый;rich;
beginner_1000;бедный;poor;
beginner_1000;успешный;successful;
beginner_1000;неудачный;unsuccessful;
beginner_1000;талантливый;talented;
beginner_1000;способный;capable;
beginner_1000;ленивый;lazy;
beginner_1000;трудолюбивый;hardworking;
beginner_1000;чужой;alien;
beginner_1000;родной;native;
beginner_1000;живой;alive;
beginner_1000;мёртвый;dead;
beginner_1000;больной;sick;
beginner_1000;здоровый;healthy;
beginner_1000;святой;holy;
beginner_1000;греховный;sinful;
beginner_1000;зимний;winter;
beginner_1000;летний;summer;
beginner_1000;осенний;autumn;
beginner_1000;весенний;spring;
beginner_1000;северный;northern;
beginner_1000;южный;southern;
beginner_1000;западный;western;
beginner_1000;восточный;eastern;
beginner_1000;круглый;round;
beginner_1000;прямой;straight;
beginner_1000;ровный;even;
beginner_1000;кривой;crooked;
beginner_1000;нижний;lower;
beginner_1000;верхний;upper;
beginner_1000;крайний;extreme;
beginner_1000;средний;middle;
beginner_1000;центральный;central;
beginner_1000;передний;front;
beginner_1000;задний;rear;
beginner_1000;внешний;external;
beginner_1000;внутренний;internal;
beginner_1000;целый;whole;
beginner_1000;отдельный;separate;
beginner_1000;похожий;similar;
beginner_1000;разный;different;
beginner_1000;единый;unified;
beginner_1000;общительный;sociable;
beginner_1000;серьёзный;serious;
beginner_1000;важнейший;most important;
beginner_1000;обыкновенный;ordinary;
beginner_1000;идеальный;ideal;
beginner_1000;специальный;special;
beginner_1000;особенный;special;
beginner_1000;чёрно-белый;black-and-white;
beginner_1000;ежедневный;daily;
beginner_1000;ежегодный;annual;
beginner_1000;ежемесячный;monthly;
beginner_1000;случайный;random;
beginner_1000;скорый;quick;
beginner_1000;внезапный;sudden;
beginner_1000;плавный;smooth;
beginner_1000;подробный;detailed;
beginner_1000;краткий;brief;
beginner_1000;политический;political;
beginner_1000;экономический;economic;
beginner_1000;социальный;social;
beginner_1000;культурный;cultural;
beginner_1000;исторический;historical;
beginner_1000;научный;scientific;
beginner_1000;технический;technical;
beginner_1000;цифровой;digital;
beginner_1000;электронный;electronic;
beginner_1000;бумажный;paper;
beginner_1000;деревянный;wooden;
beginner_1000;железный;iron;
beginner_1000;золотой;golden;
beginner_1000;серебряный;silver;
beginner_1000;каменный;stone;
beginner_1000;пластиковый;plastic;
beginner_1000;стеклянный;glass;
beginner_1000;шерстяной;woolen;
beginner_1000;кожаный;leather;
beginner_1000;шелковый;silk;
beginner_1000;хлопковый;cotton;
beginner_1000;бумага;paper;
beginner_1000;ручка;pen;
beginner_1000;карандаш;pencil;
beginner_1000;тетрадь;notebook;
beginner_1000;журнал;magazine;
beginner_1000;газета;newspaper;
beginner_1000;текст;text;
beginner_1000;статья;article;
beginner_1000;страница;page;
beginner_1000;заголовок;headline;
beginner_1000;абзац;paragraph;
beginner_1000;предложение;sentence;
beginner_1000;буква;letter;
beginner_1000;цифра;digit;
beginner_1000;формула;formula;
beginner_1000;задача;task;
beginner_1000;ответственность;responsibility;
beginner_1000;обязанность;duty;
beginner_1000;право;right;
beginner_1000;равенство;equality;
beginner_1000;власть;power;
beginner_1000;система;system;
beginner_1000;структура;structure;
beginner_1000;процесс;process;
beginner_1000;метод;method;
beginner_1000;способ;way;
beginner_1000;средство;means;
beginner_1000;модель;model;
beginner_1000;роль;role;
beginner_1000;функция;function;
beginner_1000;уровень;level;
beginner_1000;качество;quality;
beginner_1000;количество;quantity;
beginner_1000;размер;size;
beginner_1000;объём;volume;
beginner_1000;масса;mass;
beginner_1000;скорость;speed;
beginner_1000;темп;pace;
beginner_1000;проект;project;
beginner_1000;программа;program;
beginner_1000;курс;course;
beginner_1000;этап;stage;
beginner_1000;шаг;step;
beginner_1000;мера;measure;
beginner_1000;подход;approach;
beginner_1000;опора;support;
beginner_1000;основа;base;
beginner_1000;принцип;principle;
beginner_1000;условие;condition;
beginner_1000;требование;requirement;
beginner_1000;норма;norm;
beginner_1000;запрет;ban;
beginner_1000;разрешение;permission;
beginner_1000;сигнал;signal;
beginner_1000;знак;sign;
beginner_1000;символ;symbol;
beginner_1000;смысл;meaning;
beginner_1000;значение;meaning;
beginner_1000;содержание;content;
beginner_1000;тема;theme;
beginner_1000;сюжет;plot;
beginner_1000;образ;image;
beginner_1000;характер;character;
beginner_1000;личность;personality;
beginner_1000;поведение;behavior;
beginner_1000;привычка;habit;
beginner_1000;традиция;tradition;
beginner_1000;обычай;custom;
beginner_1000;культура;culture;
beginner_1000;искусство;art;
beginner_1000;литература;literature;
beginner_1000;поэзия;poetry;
beginner_1000;роман;novel;
beginner_1000;рассказ;story;
beginner_1000;сказка;fairy tale;
beginner_1000;театр;theater;
beginner_1000;сцена;stage;
beginner_1000;актёр;actor;
beginner_1000;актриса;actress;
beginner_1000;режиссёр;director;
beginner_1000;зритель;viewer;
beginner_1000;музей;museum;
beginner_1000;выставка;exhibition;
beginner_1000;праздник;holiday;
beginner_1000;торжество;celebration;
beginner_1000;подарок;gift;
beginner_1000;сюрприз;surprise;
beginner_1000;цветок;flower;
beginner_1000;дерево;tree;
beginner_1000;трава;grass;
beginner_1000;лист;leaf;
beginner_1000;корень;root;
beginner_1000;ветка;branch;
beginner_1000;плод;fruit;
beginner_1000;ягода;berry;
beginner_1000;овощ;vegetable;
beginner_1000;картофель;potato;
beginner_1000;морковь;carrot;
beginner_1000;лук;onion;
beginner_1000;чеснок;garlic;
beginner_1000;огурец;cucumber;
beginner_1000;помидор;tomato;
beginner_1000;капуста;cabbage;
beginner_1000;рис;rice;
beginner_1000;каша;porridge;
beginner_1000;сыр;cheese;
beginner_1000;масло;butter;
beginner_1000;яйцо;egg;
beginner_1000;курица;chicken;
beginner_1000;говядина;beef;
beginner_1000;свинина;pork;
beginner_1000;сосиска;sausage;
beginner_1000;салат;salad;
beginner_1000;соус;sauce;
beginner_1000;торт;cake;
beginner_1000;печенье;cookie;
beginner_1000;конфета;candy;
beginner_1000;шоколад;chocolate;
beginner_1000;мороженое;ice cream;
beginner_1000;сок;juice;
beginner_1000;лимон;lemon;
beginner_1000;апельсин;orange;
beginner_1000;банан;banana;
beginner_1000;виноград;grapes;
beginner_1000;груша;pear;
beginner_1000;слива;plum;
beginner_1000;персик;peach;
beginner_1000;арбуз;watermelon;
beginner_1000;дыня;melon;
beginner_1000;орех;nut;
beginner_1000;мёд;honey;
beginner_1000;чайник;kettle;
beginner_1000;чашка;cup;
beginner_1000;тарелка;plate;
beginner_1000;ложка;spoon;
beginner_1000;вилка;fork;
beginner_1000;нож;knife;
beginner_1000;кастрюля;pot;
beginner_1000;сковорода;pan;
beginner_1000;холодильник;refrigerator;
beginner_1000;плита;stove;
beginner_1000;кухня;kitchen;
beginner_1000;ванная;bathroom;
beginner_1000;туалет;toilet;
beginner_1000;зеркало;mirror;
beginner_1000;пол;floor;
beginner_1000;потолок;ceiling;
beginner_1000;стена;wall;
beginner_1000;угол;corner;
beginner_1000;крыша;roof;
beginner_1000;балкон;balcony;
beginner_1000;лестница;stairs;
beginner_1000;лифт;elevator;
beginner_1000;ключ;key;
beginner_1000;замок;lock;
beginner_1000;сумка;bag;
beginner_1000;пакет;package;
beginner_1000;коробка;box;
beginner_1000;ящик;drawer;
beginner_1000;карман;pocket;
beginner_1000;одежда;clothes;
beginner_1000;рубашка;shirt;
beginner_1000;брюки;pants;
beginner_1000;джинсы;jeans;
beginner_1000;юбка;skirt;
beginner_1000;платье;dress;
beginner_1000;куртка;jacket;
beginner_1000;пальто;coat;
beginner_1000;шапка;hat;
beginner_1000;шарф;scarf;
